id,score,text,episode,start_time,end_time,start_frame,end_frame
KwulFI8BYtCDorbFC2yp,1.0,"你全身都濕透了, 沒事吧?",1,"00:00:34,284","00:00:36,785",821,881
LQulFI8BYtCDorbFC2yp,1.0,傳訊息也都沒有回,1,"00:00:38,329","00:00:40,247",918,964
LgulFI8BYtCDorbFC2yp,1.0,我今天是來講一件事的,1,"00:00:41,958","00:00:44,001",1005,1054
LwulFI8BYtCDorbFC2yp,1.0,我要退出 CRYCHIC,1,"00:00:46,546","00:00:49,923",1115,1196
MAulFI8BYtCDorbFC2yp,1.0,"等一下, 我們先坐下來講吧",1,"00:00:56,139","00:00:59,808",1345,1433
NAulFI8BYtCDorbFC2yp,1.0,有問題的話我們都能改進,1,"00:01:09,611","00:01:12,071",1668,1727
NQulFI8BYtCDorbFC2yp,1.0,是我自己的問題,1,"00:01:12,072","00:01:14,156",1727,1777
NgulFI8BYtCDorbFC2yp,1.0,為什麼?,1,"00:01:15,909","00:01:17,284",1819,1852
NwulFI8BYtCDorbFC2yp,1.0,之前的演唱會不是很快樂嗎,1,"00:01:17,285","00:01:19,912",1852,1915
OQulFI8BYtCDorbFC2yp,1.0,我沒那麼說,1,"00:01:21,998","00:01:23,123",1965,1992
OgulFI8BYtCDorbFC2yp,1.0,是這樣嗎,1,"00:01:23,416","00:01:26,293",1999,2068
OwulFI8BYtCDorbFC2yp,1.0,"可是, 小祥是 CRYCHIC 的創始者啊",1,"00:01:27,295","00:01:30,798",2092,2176
PAulFI8BYtCDorbFC2yp,1.0,要是小祥想出的話...,1,"00:01:30,799","00:01:32,674",2176,2221
PwulFI8BYtCDorbFC2yp,1.0,還有這樣太不負責了吧?,1,"00:01:41,976","00:01:43,727",2444,2486
QAulFI8BYtCDorbFC2yp,1.0,為什麼都不講話?,1,"00:01:45,563","00:01:46,814",2530,2560
RQulFI8BYtCDorbFC2yp,1.0,想練習的話自己練不就好了,1,"00:01:56,825","00:01:59,243",2800,2858
RwulFI8BYtCDorbFC2yp,1.0,別怪罪在別人身上,1,"00:02:02,956","00:02:04,498",2947,2984
SAulFI8BYtCDorbFC2yp,1.0,"可是, 要是小祥退出的話.",1,"00:02:04,958","00:02:07,584",2995,3058
TQulFI8BYtCDorbFC2yp,1.0,"先冷靜下來談談吧, 好嗎",1,"00:02:19,180","00:02:21,682",3336,3396
TgulFI8BYtCDorbFC2yp,1.0,大家都一起開心玩樂團這麼久了,1,"00:02:21,683","00:02:24,226",3396,3457
TwulFI8BYtCDorbFC2yp,1.0,小睦也是這麼想的吧?,1,"00:02:24,227","00:02:26,520",3457,3512
UgulFI8BYtCDorbFC2yp,1.0,回去吧,1,"00:03:23,244","00:03:24,494",4872,4902
WAulFI8BYtCDorbFC2yp,1.0,面試就到這裡結束,1,"00:03:40,261","00:03:41,929",5280,5320
WQulFI8BYtCDorbFC2yp,1.0,面試的感覺還滿好的,1,"00:03:47,185","00:03:49,186",5446,5494
WwulFI8BYtCDorbFC2yp,1.0,我要在這裡重新開始,1,"00:03:54,067","00:03:56,151",5611,5661
XQulFI8BYtCDorbFC2yp,1.0,雖然黃金週連假就快要開始了,1,"00:04:23,054","00:04:25,764",6306,6371
XgulFI8BYtCDorbFC2yp,1.0,不過今天班上有一位新成員,1,"00:04:25,765","00:04:27,933",6371,6423
YQulFI8BYtCDorbFC2yp,1.0,希望大家願意和我當朋友,1,"00:04:31,938","00:04:33,814",6519,6564
YgulFI8BYtCDorbFC2yp,1.0,千早同學你就坐最後面的座位吧,1,"00:04:36,484","00:04:39,236",6628,6694
YwulFI8BYtCDorbFC2yp,1.0,石頭,1,"00:04:45,040","00:04:46,680",6834,6873
